instance family glasgow hybrid-checking hybrid-always hybrid-rbj hybrid-never
si4_r005_m200.04 7 19 2503 329 2503 325
si4_r005_m200.07 7 37 405 84 405 83
si4_r005_m200.09 7 53 684 217 684 218
si4_r005_m200.01 7 19 85 28 85 28
si4_r005_m200.03 7 62 1569 262 1569 270
si6_b09m_m400.03 4 42 3 3 3 3
si6_b09m_m400.07 4 24 1 1 1 1
si6_b09m_m400.00 4 29 1 1 1 1
si6_b09m_m400.04 4 24 3 3 3 3
si6_b09m_m400.06 4 44 2 2 2 2
si6_b09m_m400.08 4 27 2 2 2 2
si6_b09m_m400.02 4 27 3 3 3 3
si6_b09m_m400.05 4 42 2 2 2 2
si6_b09m_m400.09 4 25 3 3 3 3
si6_b09m_m400.01 4 27 3 3 3 3
si2_b09_m200.08 3 5 3 3 3 3
si2_b09_m200.01 3 9 3 3 3 3
si2_b09_m200.06 3 5 3 3 3 3
si2_b09_m200.05 3 5 3 3 3 3
si2_b09_m200.00 3 5 3 3 3 3
si2_b09_m200.02 3 5 4 4 4 4
si2_b09_m200.03 3 9 3 3 3 3
si2_b09_m200.04 3 5 3 3 3 3
si2_b09_m200.09 3 10 3 3 3 3
si2_b09_m200.07 3 5 3 3 3 3
si6_r01_m600.02 7 4716 14501 NaN 14501 NaN
si6_r01_m600.06 7 2920 6 5 6 5
si6_r01_m600.09 7 9396 58766 NaN 58766 NaN
si6_r01_m600.08 7 125224 257535 NaN 257535 NaN
si6_r01_m600.05 7 2772 1371 NaN 1371 NaN
si6_r01_m600.07 7 8418 137333 NaN 137333 NaN
si6_r01_m600.03 7 4150 8763 NaN 8763 NaN
si6_r01_m600.00 7 3442 6341 NaN 6341 NaN
si6_r01_m600.01 7 2996 48 11 48 11
si6_r01_m600.04 7 18723 132126 NaN 132126 NaN
si2_b06_m200.02 3 3 3 3 3 3
si2_b06_m200.00 3 3 3 3 3 3
si2_b06_m200.01 3 4 3 3 3 3
si2_b06_m200.06 3 3 3 3 3 3
si2_b06_m200.09 3 3 3 3 3 3
si2_b06_m200.07 3 6 3 3 3 3
si2_b06_m200.04 3 3 3 3 3 3
si2_b06_m200.08 3 3 3 3 3 3
si2_b06_m200.03 3 3 3 3 3 3
si2_b06_m200.05 3 3 3 3 3 3
si6_m4Dr2_m1296.05 6 247 9 9 9 9
si6_m4Dr2_m1296.09 6 270 6 6 6 6
si6_m4Dr2_m1296.01 6 269 14 14 14 14
si6_m4Dr2_m1296.06 6 262 15 15 15 15
si6_m4Dr2_m1296.07 6 269 11 11 11 11
si6_m4Dr2_m1296.03 6 277 8 8 8 8
