instance family glasgow hybrid-rbj hybrid-rbj-init hybrid-noedge-rbj hybrid-noedge-rbj-init
si2_b09m_m800.09 4 32 372 423 255 43
si2_b09m_m800.07 4 33 60 427 36 81
si2_b09m_m800.00 4 35 341 522 274 39
si2_b09m_m800.04 4 51 346 454 296 69
si2_b09m_m800.02 4 35 342 529 306 55
si2_b09m_m800.05 4 35 377 435 268 44
si2_b09m_m800.03 4 63 95 453 44 76
si2_b09m_m800.08 4 31 351 412 317 53
si2_b09m_m800.06 4 60 100 503 43 45
si2_b09m_m800.01 4 63 358 511 253 76
si4_b03_m400.01 3 23 35 126 26 13
si4_b03_m400.02 3 14 36 132 26 9
si4_b03_m400.05 3 13 29 148 26 18
si4_b03_m400.07 3 13 37 107 15 18
si4_b03_m400.06 3 13 28 108 14 11
si4_b03_m400.00 3 13 26 108 27 17
si4_b03_m400.03 3 13 32 108 26 8
si4_b03_m400.04 3 22 37 157 15 14
si4_b03_m400.09 3 13 27 111 26 9
si4_b03_m400.08 3 13 39 110 15 19
si2_b03_m200.05 3 3 4 24 4 6
si2_b03_m200.09 3 2 3 16 2 6
si2_b03_m200.07 3 2 3 16 2 7
si2_b03_m200.01 3 2 4 16 4 6
si2_b03_m200.08 3 2 4 25 4 6
si2_b03_m200.02 3 3 3 19 3 6
si2_b03_m200.04 3 2 6 27 3 3
si2_b03_m200.03 3 3 3 16 3 2
si2_b03_m200.06 3 2 5 27 2 7
si2_b03_m200.00 3 3 4 23 3 6
si4_r005_m600.00 7 2093 2247 2117 2101 184
si4_r005_m600.02 7 1210 2028 2141 1955 195
si4_r005_m600.08 7 10292 4712 2222 4783 183
si4_r005_m600.05 7 2400 3536 2086 3238 212
si4_r005_m600.07 7 1662 2200 2087 2182 354
si4_r005_m600.06 7 4044 4800 2088 4709 342
si4_r005_m600.01 7 1592 1562 2309 1404 207
si4_r005_m600.04 7 4860 4040 2186 3846 183
si4_r005_m600.03 7 1251 1352 2138 1241 234
si4_r005_m600.09 7 835 942 2165 800 194
si4_b09_m400.05 3 46 76 361 69 22
si4_b09_m400.03 3 45 112 300 47 25
si4_b09_m400.00 3 45 88 294 46 25
si4_b09_m400.07 3 45 107 295 46 51
si4_b09_m400.01 3 45 79 291 86 21
si4_b09_m400.06 3 46 111 329 87 23
si4_b09_m400.04 3 66 77 343 46 51
si4_b09_m400.02 3 45 105 428 87 48
si4_b09_m400.08 3 62 105 292 47 48
si4_b09_m400.09 3 45 73 309 77 41
si4_b06m_m400.06 4 12 122 155 76 33
si4_b06m_m400.03 4 11 98 195 96 29
si4_b06m_m400.01 4 20 131 166 66 16
si4_b06m_m400.08 4 12 94 169 75 31
si4_b06m_m400.05 4 19 119 144 63 28
si4_b06m_m400.07 4 13 133 225 92 27
si4_b06m_m400.00 4 11 122 191 62 32
si4_b06m_m400.04 4 20 127 187 108 31
si4_b06m_m400.09 4 11 98 183 101 28
si4_b06m_m400.02 4 10 97 157 85 15
