instance "si-noninduced-gss-20201105" "si-noninduced-pathlad-20201105" "si-noninduced-vf2-20201105" "si-noninduced-ri-20201105" "si-noninduced-minion-preprocess-gac-20201105" "si-noninduced-hybrid-preprocess-gac-comm-checker-20201105" "si-noninduced-hybrid-preprocess-gac-comm-test-20201105" "si-noninduced-hybrid-preprocess-gac-comm-propagate-20201105" "si-noninduced-hybrid-preprocess-gac-comm-rollback-20201105" "si-noninduced-hybrid-preprocess-gac-comm-randomrollback-20201105" "si-moreoddthaneven-minion-preprocess-gac-20201105" "si-moreoddthaneven-hybrid-preprocess-gac-comm-checker-20201105" "si-moreoddthaneven-hybrid-preprocess-gac-comm-test-20201105" "si-moreoddthaneven-hybrid-preprocess-gac-comm-propagate-20201105" "si-moreoddthaneven-hybrid-preprocess-gac-comm-rollback-20201105" "si-moreoddthaneven-hybrid-preprocess-gac-comm-randomrollback-20201105" "si-lessthreeodd-minion-preprocess-gac-20201105" "si-lessthreeodd-hybrid-preprocess-gac-comm-checker-20201105" "si-lessthreeodd-hybrid-preprocess-gac-comm-test-20201105" "si-lessthreeodd-hybrid-preprocess-gac-comm-propagate-20201105" "si-lessthreeodd-hybrid-preprocess-gac-comm-rollback-20201105" "si-lessthreeodd-hybrid-preprocess-gac-comm-randomrollback-20201105" "si-parity-minion-preprocess-gac-20201105" "si-parity-hybrid-preprocess-gac-comm-checker-20201105" "si-parity-hybrid-preprocess-gac-comm-test-20201105" "si-parity-hybrid-preprocess-gac-comm-propagate-20201105" "si-parity-hybrid-preprocess-gac-comm-rollback-20201105" "si-parity-hybrid-preprocess-gac-comm-randomrollback-20201105"
A.07 0.0166611 0.00549968 2.48753 0.02546 11.7515 3.47501 3.59516 3.56577 3.56867 3.6274 27.4107 4.10774 3.92632 3.92309 3.84587 3.90178 26.5285 3.63129 3.48236 3.49208 3.65382 3.65075 11.2833 3.45347 3.40334 3.63483 3.76887 3.53183
F.03 0.271887 0.0791516 1000.01 0.0397256 NaN 17.2841 17.3378 17.3031 17.3985 17.4367 NaN 17.9887 18.1486 18.1264 18.1523 17.9052 NaN 17.1175 17.144 17.0207 17.1421 17.0725 NaN 16.8791 16.8213 17.1308 16.7601 16.7309
E.12 0.336387 0.025429 1000.01 1000.02 NaN 17.7227 18.39 17.5264 17.9112 17.7606 NaN 18.5133 18.6617 17.992 18.1595 18.0063 NaN 17.9499 17.9754 17.8156 17.6244 18.0109 NaN 17.4126 17.2627 17.8409 17.55 17.1586
C.06 0.278491 0.102357 1000.01 0.0471268 NaN 22.5657 22.8029 22.7279 22.8509 22.8451 NaN 24.4756 25.2944 25.0204 24.8944 25.0511 NaN 23.6337 24.6619 23.6799 24.3629 24.3882 844.219 22.9173 23.583 22.8603 22.676 22.3986
C.09 0.26701 0.0761806 1000.01 0.0385419 912.706 22.6504 23.4133 23.0805 22.8853 23.4729 941.647 24.9263 25.8015 25.4898 25.6597 25.3684 NaN 23.7277 22.8731 23.7718 23.0754 23.5893 NaN 21.9054 22.1385 22.688 22.4394 22.6445
B.17 0.102233 0.0300798 1000 0.0343289 138.068 10.5842 10.5897 10.6876 11.0139 10.5229 428.153 12.5319 12.0996 12.0412 12.1937 12.0854 442.452 11.1686 10.8716 11.4479 10.8875 11.2074 214.855 10.2843 10.4593 10.5321 10.9293 10.4076
C.07 0.279803 0.0771346 1000.01 0.0371336 NaN 22.9201 23.6305 23.3854 23.4554 23.1976 NaN 24.9287 24.9461 24.8454 25.099 26.1526 NaN 23.4569 22.6595 23.5913 23.4734 23.6499 NaN 22.3727 22.3868 22.7503 22.6652 22.6581
E.09 0.306658 0.0312601 1000.01 1000.02 NaN 16.9211 16.7347 16.8065 16.8604 16.956 NaN 17.4539 17.905 17.3572 18.1108 17.4138 NaN 17.1939 17.132 17.4645 17.313 17.3656 NaN 17.0974 17.0251 17.0315 16.9844 17.1692
E.17 0.073547 0.0164726 1000.01 1000.02 NaN 16.1394 16.0074 16.2453 15.9221 15.6212 NaN 16.772 16.7691 16.859 16.531 16.982 NaN 16.3827 16.0896 16.3679 16.4832 16.0479 NaN 15.9447 16.0118 16.1948 16.0739 16.1642
C.11 0.282769 0.160046 1000.01 0.0426777 136.138 23.3692 23.9864 24.7894 23.8513 23.5219 141.302 25.7497 26.1499 26.5256 26.4366 26.2353 NaN 24.7026 24.5148 24.5628 23.1371 24.0112 NaN 23.291 22.9883 22.7803 22.6181 22.9534
